x,y,val
8,17,0.5833333333333334
9,0,0.5666666666666667
9,1,0.6166666666666667
9,2,0.5833333333333334
9,3,0.5573770491803278
9,4,0.5409836065573771
9,5,0.5737704918032787
9,6,0.5737704918032787
9,7,0.5833333333333334
9,8,0.5666666666666667
9,9,0.1
9,10,0.6
9,11,0.6
9,12,0.6
9,13,0.5737704918032787
9,14,0.5833333333333334
9,15,0.5737704918032787
9,16,0.5833333333333334
9,17,0.5666666666666667
10,0,0.5084745762711864
10,1,0.5423728813559322
10,2,0.576271186440678
10,3,0.5573770491803278
10,4,0.5737704918032787
10,5,0.5901639344262295
10,6,0.5737704918032787
10,7,0.55
10,8,0.576271186440678
10,9,0.6
10,10,0.1016949152542373
10,11,0.559322033898305
10,12,0.55
10,13,0.5737704918032787
10,14,0.5666666666666667
10,15,0.5737704918032787
10,16,0.5833333333333334
10,17,0.6
11,0,0.576271186440678
11,1,0.5689655172413793
11,2,0.5932203389830508
11,3,0.5737704918032787
11,4,0.5573770491803278
11,5,0.5737704918032787
11,6,0.5737704918032787
11,7,0.5666666666666667
11,8,0.5932203389830508
11,9,0.6
11,10,0.559322033898305
11,11,0.08620689655172414
11,12,0.5666666666666667
11,13,0.6065573770491803
11,14,0.55
11,15,0.5573770491803278
11,16,0.5666666666666667
11,17,0.6
12,0,0.5333333333333333
12,1,0.55
12,2,0.5666666666666667
12,3,0.5409836065573771
12,4,0.5737704918032787
12,5,0.5573770491803278
12,6,0.5901639344262295
12,7,0.5666666666666667
12,8,0.6
12,9,0.6
12,10,0.5666666666666667
12,11,0.5833333333333334
12,12,0.08333333333333333
12,13,0.5573770491803278
12,14,0.55
12,15,0.5409836065573771
12,16,0.5333333333333333
12,17,0.55
13,0,0.5573770491803278
13,1,0.5737704918032787
13,2,0.5737704918032787
13,3,0.5245901639344263
13,4,0.5245901639344263
13,5,0.5573770491803278
13,6,0.5573770491803278
13,7,0.5573770491803278
13,8,0.6065573770491803
13,9,0.5737704918032787
13,10,0.5737704918032787
13,11,0.6065573770491803
13,12,0.5573770491803278
13,13,0.08196721311475409
13,14,0.5737704918032787
13,15,0.5573770491803278
13,16,0.5409836065573771
13,17,0.5737704918032787
14,0,0.5666666666666667
14,1,0.5666666666666667
14,2,0.6
14,3,0.5081967213114754
14,4,0.5737704918032787
14,5,0.5573770491803278
14,6,0.5737704918032787
14,7,0.5833333333333334
14,8,0.5666666666666667
14,9,0.5666666666666667
14,10,0.5333333333333333
14,11,0.5333333333333333
14,12,0.5666666666666667
14,13,0.5737704918032787
14,14,0.1
14,15,0.5409836065573771
14,16,0.55
14,17,0.5666666666666667
15,0,0.5901639344262295
15,1,0.5573770491803278
15,2,0.5901639344262295
15,3,0.5081967213114754
15,4,0.5409836065573771
15,5,0.5409836065573771
15,6,0.5409836065573771
15,7,0.5573770491803278
15,8,0.5737704918032787
15,9,0.5737704918032787
15,10,0.5573770491803278
15,11,0.5737704918032787
15,12,0.5409836065573771
15,13,0.5573770491803278
15,14,0.5409836065573771
15,15,0.06557377049180328
15,16,0.5245901639344263
15,17,0.5081967213114754
16,0,0.55
16,1,0.55
16,2,0.5833333333333334
16,3,0.5245901639344263
16,4,0.5573770491803278
16,5,0.5737704918032787
16,6,0.5737704918032787
16,7,0.5666666666666667
16,8,0.5666666666666667
16,9,0.55
16,10,0.5833333333333334
16,11,0.5666666666666667
16,12,0.55
16,13,0.5409836065573771
16,14,0.5333333333333333
16,15,0.5245901639344263
16,16,0.06666666666666667
16,17,0.55
17,0,0.5666666666666667
17,1,0.5833333333333334
17,2,0.6
17,3,0.5245901639344263
17,4,0.5737704918032787
17,5,0.5901639344262295
17,6,0.5737704918032787
17,7,0.5833333333333334
17,8,0.5666666666666667
17,9,0.5666666666666667
17,10,0.6
17,11,0.5833333333333334
17,12,0.5666666666666667
17,13,0.5737704918032787
17,14,0.5666666666666667
17,15,0.5081967213114754
17,16,0.5666666666666667
17,17,0.1
