src,dst,val
O,W,-13.815510557964274
O,X,-8.497747366865342
O,Y,-4.335921517585814
O,Z,-8.964813089909262
P, ,-4.177956750833403
P,A,-1.3891061017434976
P,B,-13.815510557964274
P,C,-6.239355105915975
P,D,-13.815510557964274
P,E,-1.7958434299075638
P,F,-13.815510557964274
P,G,-13.815510557964274
P,H,-4.280683811798776
P,I,-3.495250861648665
P,J,-13.815510557964274
P,K,-13.815510557964274
P,L,-2.2534615215020395
P,M,-13.815510557964274
P,N,-9.296956032590357
P,O,-1.82467008347302
P,P,-3.2522824837760336
P,Q,-13.815510557964274
P,R,-1.9048528907831737
P,S,-3.7964655738438755
P,T,-4.467591241794977
P,U,-3.344313015195911
P,V,-13.815510557964274
P,W,-13.815510557964274
P,X,-13.815510557964274
P,Y,-8.8951324718271
P,Z,-13.815510557964274
Q, ,-6.185393629571361
Q,A,-13.815510557964274
Q,B,-13.815510557964274
Q,C,-13.815510557964274
Q,D,-13.815510557964274
Q,E,-13.815510557964274
Q,F,-13.815510557964274
Q,G,-13.815510557964274
Q,H,-13.815510557964274
Q,I,-13.815510557964274
Q,J,-13.815510557964274
Q,K,-13.815510557964274
Q,L,-13.815510557964274
Q,M,-13.815510557964274
Q,N,-13.815510557964274
Q,O,-13.815510557964274
Q,P,-13.815510557964274
Q,Q,-13.815510557964274
Q,R,-13.815510557964274
Q,S,-13.815510557964274
Q,T,-13.815510557964274
Q,U,-0.0020594099249746168
Q,V,-13.815510557964274
Q,W,-13.815510557964274
Q,X,-13.815510557964274
Q,Y,-13.815510557964274
Q,Z,-13.815510557964274
R, ,-1.4575333207322303
R,A,-2.204115733208763
R,B,-5.831521317608626
R,C,-3.847253083845029
R,D,-3.642291840907959
R,E,-1.1681597290247137
R,F,-5.866600463320188
R,G,-5.1629743988442325
R,H,-10.091027458156256
R,I,-2.630504650288697
R,J,-9.693636716088129
R,K,-13.815510557964274
R,L,-5.2062947405855216
R,M,-4.207298699187443
R,N,-4.819510665995776
R,O,-2.858428673093005
R,P,-5.845405662272031
R,Q,-5.956179524425491
R,R,-3.981997145990943
R,S,-3.2046733787337587
R,T,-3.068344963733737
R,U,-4.469914563729462
R,V,-5.170065383857263
R,W,-13.815510557964274
R,X,-13.815510557964274
R,Y,-7.587744363331948
R,Z,-9.00862962801455
S, ,-0.6877784080487452
S,A,-2.5770720088925345
S,B,-13.815510557964274
S,C,-5.109274745442343
S,D,-10.955809926078828
S,E,-2.076000103465721
S,F,-7.547169086659185
S,G,-9.613430285419751
S,H,-8.524844369497092
S,I,-2.7678282007394865
S,J,-10.291723913846194
S,K,-10.955809926078828
S,L,-9.896136619296424
S,M,-7.006364727571785
S,N,-8.371413720632162
S,O,-2.7984274061198313
S,P,-4.653394733740404
S,Q,-4.683192187064141
S,R,-9.896136619296424
S,S,-2.790086312922202
S,T,-3.1264448636449003
S,U,-3.5900041607407496
S,V,-10.291723913846194
S,W,-4.467929566842681
S,X,-13.815510557964274
S,Y,-7.081785724203323
S,Z,-9.896136619296424
T, ,-0.7810276749843905
T,A,-2.3953022398013575
T,B,-10.220491104067953
T,C,-9.32081370187657
T,D,-13.815510557964274
T,E,-1.710256131079257
T,F,-13.815510557964274
T,G,-13.815510557964274
T,H,-5.460608319530284
T,I,-2.691892601335253
T,J,-8.63326620312796
T,K,-13.815510557964274
T,L,-7.9429306662035275
T,M,-8.04797838634113
T,N,-13.815510557964274
T,O,-3.1384327994427816
T,P,-10.886548402455112
T,Q,-13.815510557964274
T,R,-2.533199133025753
T,S,-4.0177983027411495
T,T,-3.2874865547103367
T,U,-3.9896563088545913
T,V,-13.815510557964274
T,W,-10.886548402455112
T,X,-13.815510557964274
T,Y,-7.607263210478057
T,Z,-13.815510557964274
U, ,-1.8082903084119508
U,A,-4.010720670464065
U,B,-5.360640237449384
U,C,-4.3678236328466635
U,D,-4.874589181188023
U,E,-1.9855918507386507
